match_id,date,radiant,dire,winner,match_time,round,game_number
261406872,8/2/2013,Quantic,Rattlesnake,Dire,41.7,Wild Card Finals,1
261440616,8/2/2013,Rattlesnake,Quantic,Dire,40.21,Wild Card Finals,2
261471219,8/2/2013,Quantic,Rattlesnake,Dire,42.45,Wild Card Finals,3
261498337,8/2/2013,Rattlesnake,Quantic,Radiant,34.63,Wild Card Finals,4
262276878,8/3/2013,DK,Dignitas,Radiant,20.26,Group Stage,1
262279207,8/3/2013,Fnatic.EU,NaVi,Radiant,46.15,Group Stage,1
262281327,8/3/2013,MUFC,LGD.cn,Dire,29.88,Group Stage,1
262283296,8/3/2013,mouz,Zenith,Radiant,42.85,Group Stage,1
262303778,8/3/2013,Dignitas,DK,Dire,13.78,Group Stage,2
262312446,8/3/2013,LGD.cn,MUFC,Radiant,30.27,Group Stage,2
262322091,8/3/2013,Zenith,mouz,Radiant,47.4,Group Stage,2
262324734,8/3/2013,NaVi,Fnatic.EU,Dire,35.9,Group Stage,2
262341896,8/3/2013,Orange,TongFu,Dire,21.31,Group Stage,1
262357611,8/3/2013,Liquid,VP,Dire,26.96,Group Stage,1
262367754,8/3/2013,TongFu,Orange,Radiant,29.84,Group Stage,2
262374910,8/3/2013,iG,Rattlesnake,Radiant,41.19,Group Stage,1
262385766,8/3/2013,Alliance,LGD.int,Radiant,39.77,Group Stage,1
262392411,8/3/2013,VP,Liquid,Dire,47.42,Group Stage,2
262411148,8/3/2013,Dignitas,MUFC,Radiant,24.16,Group Stage,1
262426855,8/3/2013,LGD.int,Alliance,Dire,35.72,Group Stage,2
262427613,8/3/2013,iG,Rattlesnake,Radiant,20.46,Group Stage,2
262438280,8/3/2013,MUFC,Dignitas,Dire,26.83,Group Stage,2
262445112,8/3/2013,LGD.cn,DK,Dire,31.46,Group Stage,1
262457078,8/3/2013,Zenith,Fnatic.EU,Dire,30.05,Group Stage,1
262467064,8/3/2013,NaVi,mouz,Radiant,33.14,Group Stage,1
262475417,8/3/2013,DK,LGD.cn,Dire,37.59,Group Stage,2
262482014,8/3/2013,Zenith,Fnatic.EU,Radiant,37.5,Group Stage,2
262483445,8/3/2013,VP,TongFu,Dire,37.22,Group Stage,1
262495365,8/3/2013,NaVi,mouz,Radiant,29.08,Group Stage,2
262504787,8/3/2013,Liquid,Orange,Radiant,17.11,Group Stage,1
262509769,8/3/2013,TongFu,VP,Radiant,34.04,Group Stage,2
262511470,8/3/2013,LGD.int,Rattlesnake,Radiant,28.15,Group Stage,1
262520546,8/3/2013,iG,Alliance,Dire,50.92,Group Stage,1
262520933,8/3/2013,Orange,Liquid,Radiant,72.94,Group Stage,2
262531941,8/3/2013,LGD.int,Rattlesnake,Dire,42.75,Group Stage,2
262535265,8/3/2013,Dignitas,LGD.cn,Radiant,28.14,Group Stage,1
262546824,8/3/2013,iG,Alliance,Dire,43.7,Group Stage,2
262553182,8/3/2013,Dignitas,LGD.cn,Radiant,25.48,Group Stage,2
262559167,8/3/2013,NaVi,Zenith,Radiant,45.13,Group Stage,1
262561359,8/3/2013,MUFC,DK,Dire,25.42,Group Stage,1
262575056,8/3/2013,TongFu,Liquid,Dire,31.61,Group Stage,1
262579147,8/3/2013,mouz,Fnatic.EU,Dire,33.63,Group Stage,1
262580105,8/3/2013,MUFC,DK,Dire,25.85,Group Stage,2
262584768,8/3/2013,NaVi,Zenith,Radiant,30.87,Group Stage,2
262596112,8/3/2013,Liquid,TongFu,Radiant,39.56,Group Stage,2
262603145,8/3/2013,Fnatic.EU,mouz,Radiant,29.66,Group Stage,2
262604402,8/3/2013,VP,Orange,Dire,36.24,Group Stage,1
262613112,8/3/2013,iG,LGD.int,Radiant,18.75,Group Stage,1
262629776,8/3/2013,Rattlesnake,Alliance,Dire,23.47,Group Stage,1
262632112,8/3/2013,VP,Orange,Dire,33.98,Group Stage,2
262632760,8/3/2013,iG,LGD.int,Dire,35.66,Group Stage,2
262650433,8/3/2013,Alliance,Rattlesnake,Radiant,21.15,Group Stage,2
263290556,8/4/2013,mouz,Dignitas,Dire,31.79,Group Stage,1
263297825,8/4/2013,NaVi,MUFC,Radiant,42.93,Group Stage,1
263298375,8/4/2013,Fnatic.EU,LGD.cn,Radiant,31.99,Group Stage,1
263300623,8/4/2013,Zenith,DK,Dire,31.62,Group Stage,1
263328756,8/4/2013,mouz,Dignitas,Dire,42.13,Group Stage,2
263335409,8/4/2013,Fnatic.EU,LGD.cn,Dire,63.27,Group Stage,2
263344752,8/4/2013,Zenith,DK,Radiant,34.47,Group Stage,2
263346183,8/4/2013,NaVi,MUFC,Radiant,19.12,Group Stage,2
263385734,8/4/2013,iG,VP,Radiant,42.34,Group Stage,1
263387356,8/4/2013,TongFu,Alliance,Dire,78.28,Group Stage,1
263395326,8/4/2013,Orange,LGD.int,Radiant,24.28,Group Stage,1
263406210,8/4/2013,Liquid,Rattlesnake,Dire,38.46,Group Stage,1
263429901,8/4/2013,VP,iG,Dire,26.84,Group Stage,2
263433706,8/4/2013,Orange,LGD.int,Radiant,33.2,Group Stage,2
263451354,8/4/2013,Liquid,Rattlesnake,Radiant,21.75,Group Stage,2
263462906,8/4/2013,TongFu,Alliance,Dire,20.07,Group Stage,2
263470198,8/4/2013,Fnatic.EU,MUFC,Radiant,20.02,Group Stage,1
263481245,8/4/2013,NaVi,DK,Radiant,57.24,Group Stage,1
263494556,8/4/2013,Fnatic.EU,MUFC,Radiant,27.66,Group Stage,2
263495756,8/4/2013,mouz,LGD.cn,Radiant,35.91,Group Stage,1
